"		152",울산,Aug-80,65.7,15.78,
"		152",울산,Sep-80,162.1,43.68,
"		152",울산,Oct-80,175.7,50.39,
"		152",울산,Nov-80,211.8,68.77,
"		152",울산,Dec-80,230.2,76.2,
"		152",울산,Jan-81,230.8,74.28,
"		152",울산,Feb-81,173.1,56.94,
"		152",울산,Mar-81,231.7,62.62,
"		152",울산,Apr-81,215.4,54.99,
"		152",울산,May-81,233.4,53.79,
"		152",울산,Jun-81,144.3,33.23,
"		152",울산,Jul-81,169.4,38.34,
"		152",울산,Aug-81,170.1,40.85,
"		152",울산,Sep-81,195.1,52.57,
"		152",울산,Oct-81,196,56.21,
"		152",울산,Nov-81,178.6,57.99,
"		152",울산,Dec-81,223.6,74.02,
"		152",울산,Jan-82,202.9,65.3,
"		152",울산,Feb-82,166.4,54.74,
"		152",울산,Mar-82,181.4,49.03,
"		152",울산,Apr-82,204.6,52.23,
"		152",울산,May-82,233,53.7,
"		152",울산,Jun-82,244.3,56.26,
"		152",울산,Jul-82,149.2,33.77,
"		152",울산,Aug-82,160.2,38.47,
"		152",울산,Sep-82,186.3,50.2,
"		152",울산,Oct-82,220.9,63.35,
"		152",울산,Nov-82,141.9,46.07,
"		152",울산,Dec-82,207.8,68.79,
"		152",울산,Jan-83,194,62.28,
"		152",울산,Feb-83,207.9,68.25,
"		152",울산,Mar-83,193,52.12,
"		152",울산,Apr-83,173.5,44.25,
"		152",울산,May-83,223.4,51.38,
"		152",울산,Jun-83,192.4,44.17,
"		152",울산,Jul-83,181,40.82,
"		152",울산,Aug-83,191.4,45.76,
"		152",울산,Sep-83,139.1,37.29,
"		152",울산,Oct-83,185.5,52.88,
"		152",울산,Nov-83,210.3,67.86,
"		152",울산,Dec-83,235.6,77.42,
"		152",울산,Jan-84,228.9,73.48,
"		152",울산,Feb-84,202.8,64.26,
"		152",울산,Mar-84,221.4,59.64,
"		152",울산,Apr-84,171.6,43.68,
"		152",울산,May-84,266.5,61.21,
"		152",울산,Jun-84,173.2,39.74,
"		152",울산,Jul-84,182.6,41.22,
"		152",울산,Aug-84,207.2,49.64,
"		152",울산,Sep-84,132.1,35.5,
"		152",울산,Oct-84,241.2,68.93,
"		152",울산,Nov-84,172.6,55.82,
"		152",울산,Dec-84,176,57.86,
"		152",울산,Jan-85,237.5,76.17,
"		152",울산,Feb-85,152.8,50.11,
"		152",울산,Mar-85,170.6,45.98,
"		152",울산,Apr-85,219.4,55.86,
"		152",울산,May-85,200.7,46.13,
"		152",울산,Jun-85,161.3,37.01,
"		152",울산,Jul-85,224.7,50.7,
"		152",울산,Aug-85,180.4,43.17,
"		152",울산,Sep-85,142.8,38.36,
"		152",울산,Oct-85,160.4,45.82,
"		152",울산,Nov-85,172.5,55.74,
"		152",울산,Dec-85,204.1,67.12,
"		152",울산,Jan-86,227.2,72.91,
"		152",울산,Feb-86,208.9,68.54,
"		152",울산,Mar-86,215,58.01,
"		152",울산,Apr-86,215,54.81,
"		152",울산,May-86,229.6,52.79,
"		152",울산,Jun-86,155.5,35.68,
"		152",울산,Jul-86,140.1,31.6,
"		152",울산,Aug-86,216.2,51.7,
"		152",울산,Sep-86,165.5,44.42,
"		152",울산,Oct-86,185.2,52.87,
"		152",울산,Nov-86,203.6,65.76,
"		152",울산,Dec-86,189.9,62.43,
"		152",울산,Jan-87,209.3,67.19,
"		152",울산,Feb-87,177.4,58.22,
"		152",울산,Mar-87,173.6,46.88,
"		152",울산,Apr-87,213.3,54.4,
"		152",울산,May-87,234.1,53.84,
"		152",울산,Jun-87,234.7,53.88,
"		152",울산,Jul-87,130.6,29.45,
"		152",울산,Aug-87,98.3,23.5,
"		152",울산,Sep-87,165.5,44.38,
"		152",울산,Oct-87,171.6,48.92,
"		152",울산,Nov-87,174.9,56.44,
"		152",울산,Dec-87,230.7,75.84,
"		152",울산,Jan-88,202.6,65.06,
"		152",울산,Feb-88,159.9,50.67,
"		152",울산,Mar-88,190.4,51.28,
"		152",울산,Apr-88,244,62.07,
"		152",울산,May-88,226.2,51.95,
"		152",울산,Jun-88,176.8,40.58,
